mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1008.5468689433858,764.4248297738654,309.55155268595297,239.9448045980131,0.0,,,0.0,0,0,0,7,Day_7,149,149,5
char,1.0,1.0044628574444332,-285.73555567704904,1009.9511357866503,764.378202290888,309.55041253068435,239.8255516440398,-6360.030579259812,0.8699713886703832,0.9299638745376915,1.0,0,0,0,7,Day_7,150,150,6
char,1.0,1.0045148419610739,-285.74313375792485,1009.8974432593933,764.3315794706589,309.5492724894313,239.82619713324974,-3591.95120749202,0.8699707242572029,0.9299630344472752,2.0,0,0,0,7,Day_7,151,151,7
char,1.0,1.0045668262995198,-285.7507135255006,1009.8437558890192,764.2849613127119,309.54813256218233,239.82684290819492,-3998.701187340392,0.8699700523505418,0.9299621848574628,3.0,0,0,0,7,Day_7,152,152,8
char,1.0,1.0046188104559894,-285.75829497611716,1009.7900736743964,764.2383478165806,309.54699274892613,239.8274889688653,-4024.1969041670695,0.869969372955266,0.9299613257738114,4.0,0,0,0,7,Day_7,153,153,9
char,1.0,1.0046707944243494,-285.7658781045999,1009.7363966141507,764.191738981799,309.5458530496512,239.82813531528785,-4005.997531574209,0.869968686076553,0.929960457202094,5.0,0,0,0,7,Day_7,154,154,10
char,1.0,1.0047227782015005,-285.7734629077051,1009.6827247071269,764.1451348079007,309.5447134643462,239.8287819474554,-4401.694348067025,0.8699679917192251,0.9299595791478348,6.0,0,0,0,7,Day_7,155,155,11
char,1.0,1.0047747617822083,-285.78104938081214,1009.6290579520738,764.0985352944199,309.54357399299977,239.82942886537504,-4377.071135094913,0.8699672898883906,0.9299586916167564,7.0,0,0,0,7,Day_7,156,156,12
char,1.0,1.0048267451617763,-285.7886375196347,1009.5753963477393,764.0519404408905,309.54243463560044,239.83007606905372,-4773.450449558328,0.869966580589113,0.9299577946145496,8.0,0,0,0,7,Day_7,157,157,13
char,1.0,1.0048787283360698,-285.7962273202347,1009.5217398929016,764.0053502468463,309.5412953921369,239.83072355849342,-6756.182802378524,0.8699658638264034,0.9299568881468672,9.0,0,0,0,7,Day_7,158,158,14
char,1.0,1.0049307112987549,-285.8038187772517,1009.4680885862404,763.9587647118216,309.54015626259763,239.83137133371065,-8498.83669548981,0.869965139605583,0.9299559722195774,10.0,0,0,0,7,Day_7,159,159,15
idle,0.0,0.0,0.0,1009.3969567773818,763.9121838353503,309.53901724697135,239.8372031965773,0.0,,,10.0,0,0,0,7,Day_7,160,160,16
dis,1.0,1.0007537796729296,199.0840126184926,1009.325832081704,765.3787411265794,309.5681924039809,239.84303447625766,8954.273305786484,0.869986727532497,0.929998158518648,9.0,0,0,0,7,Day_7,161,161,17
dis,1.0,1.0007216898108109,199.0517528572318,1009.2547144984958,765.3327673392778,309.56741073914304,239.84886517281004,11430.80766562278,0.8699865933403731,0.9299981949347123,8.0,0,0,0,7,Day_7,162,162,18
dis,1.0,1.0006896017521607,199.01949619635204,1009.1836040270459,765.2867982967929,309.56662913005323,239.85469528629278,9870.7162175865,0.8699864583726319,0.9299982274728807,7.0,0,0,0,7,Day_7,163,163,19
dis,1.0,1.0006575154976025,198.98724263577108,1009.1125006666432,765.2408339985815,309.56584757670777,239.86052481676415,8959.848320971523,0.8699863226297688,0.9299982561327977,6.0,0,0,0,7,Day_7,164,164,20
dis,1.0,1.0006254310472626,198.95499217533177,1009.0414044165765,765.1948744441256,309.5650660791023,239.8663537642825,8794.413487775955,0.8699861861123172,0.9299982809141134,5.0,0,0,0,7,Day_7,165,165,21
idle,0.0,0.0,0.0,1008.9703152761348,765.1481699566812,309.5639245724944,239.8721821289061,0.0,,,5.0,0,0,0,7,Day_7,166,166,22
idle,0.0,0.0,0.0,1008.8992332446072,765.1014701396855,309.5627831800371,239.87800991069324,0.0,,,5.0,0,0,0,7,Day_7,167,167,23
